Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,City,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Sector,Date_Scraped,Job_URL,Job_ID,ISCO_Source,ISCO_Reclassified,Employer_Type_Raw,Employer_ISIC_4,Employer_Category_Confidence_Level,Employer_ISIC_2
"1st Level Customer Support (m/w/d) - Healthcare SaaS, Düsseldorf",Information and communications technicians (ISCO 35),3512.0,351.0,35.0,Information and communications technology user support technicians,North Rhine-Westphalia,Düsseldorf,Deutsches Medizinrechenzentrum GmbH,"Computer programming, consultancy and related activities",2026-06-04 00:00:00,Full-time,,"• You are the first point of contact for our customers with technical and application-related questions about our software - by phone and email.
• You accept support requests in a friendly and service-oriented manner, analyze the requests and find quick, understandable solutions.
• You document requests and solutions carefully in our ticket system.
• You continue to lead more complex cases to 2nd Level Support or the specialist departments.
• You pass customer feedback on to the product team in a structured way and help to continuously improve our software.
• You support the further development of auxiliary materials (e.g. knowledge base, tutorials, FAQs).","• Professional experience in telephone customer support, ideally in the IT/software environment.
• Completed training or studies with a technical or commercial focus - or a comparable qualification.
• A high level of service orientation, high communication ability and enjoyment of dealing with people.
• Structured, solution-oriented working methods and the ability to remain friendly and sovereign even in stressful situations.
• Very good German language skills in word and writing.
• Knowledge in German healthcare, especially in billing or industry-specific software, is a clear plus.","• Entry into a future-oriented company in the exciting healthcare-saaS environment
• A meaningful mission: digitalization that really relieves healthcare providers
• Individual, structured training with regular feedback and support from our mentoring programme
• The possibility of working independently and responsibly and bringing in your own ideas
• Individual and diverse development opportunities
• 30 days of holiday per year, flexible working time arrangements and up to 2 days of mobile work per week (Monday & Friday)
• Lunch together Wednesdays and Thursdays - freshly prepared by our chef Ingo
• Celebrate success together at team events",Remote,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--1st-Level-Customer-Support-m-w-d-Healthcare-SaaS-Duesseldorf-Deutsches-Medizinrechenzentrum-GmbH--14107069-inline.html,Job-350,Gemini,Yes,Direct Employer,6202,High,62
"Breakfast Chef (m/w/d) - EVENT Location, Düsseldorf",Personal Service Workers (ISCO 51),5120.0,512.0,51.0,Cooks,North Rhine-Westphalia,Düsseldorf,Hotel an der Multifunktionsarena Düsseldorf Betriebsgesellschaft mbH,Accommodation,2026-06-04 00:00:00,Full-time,,"• Careful and sustainable processing and preparation of the food for our international breakfast and lunch guests • Clean working in our show kitchen • Creative and changing design of the offer for breakfast and lunch buffet • Working with the chef for orders, tailored to the upcoming bookings in the restaurant and in the conference • Creative planning and Implementation of coffee/tea breaks for meetings and events • Preparation work for dinner • Consistent compliance and control of HACCP regulations • Participation in projects around our GreenSign certification",Your profile• You are an early riser and you like to have something from day to day • You can quickly get in mind to ensure the wide range of products for the breakfast buffet and the wide range of products for the buffet • You can ensure quick exchange and filling up of the buffets • You bring creativity & joy to the implementation • Calm and thoughtful focus on the daily implementation Your tasks • You are a convinced team player and you are happy to support your colleagues in late service from time to timeYou bring the professional requirements & experiences?,Free parking in the hotel garage Daily fresh staff dinner Coordinated onboarding process - a team become specialist and personality training Regular feedback & orientation talks Digital working time recording with scheduled service and leisure time Family-friendly working time Christmas & New Year's Eve free Staff Councils in over 250 hotels Promotion programmes for Cross-Entry Management Training Programs Health Offers Participation in our sustainability projects Job Ticket,On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Fruehstueckskoch-m-w-d-EVENT-Location-Duesseldorf-Hotel-an-der-Multifunktionsarena-Duesseldorf-Betriebsgesellschaft-mbH--13860075-inline.html,Job-351,Rule_category,Yes,Recruitment Agency,5510,High,55
"Chef Banquet (m/w/d), Düsseldorf",Legal Social & Religious Associates (ISCO 34),3434.0,343.0,34.0,Chefs,North Rhine-Westphalia,Düsseldorf,Hotel Kö59 Düsseldorf - Member of Hommage Luxury Hotels Collection,Accommodation,2026-06-03 00:00:00,Full-time,,"• As chef banquet you bear the responsibility of the entire kitchen routines and posts of the banquet kitchen
• As a team leader, you are the first contact person for your employees and responsible for the training of new colleagues and trainees
• Creative suggestions and participation in the buffet and dining design
• Planning and preparation of large banquet events
• Close cooperation with all departments relevant to R&D
• Implementation of food orders and quality and invoice control
• Representation of the chef in his absence
• Monitoring and compliance with all hygiene regulations and operational guidelines","• Training and sound experience in a similar function in the upscale hotel industry / gastronomy
• Creativity and passion for the profession
• Service-oriented work, team spirit and a well-kept appearance
• A very good feeling for the needs of our guests and employees","• Permanent employment contracts with collective agreements
• Family & Friends rates and 50% F&B discount in all hotels
• Granting of 25% of the pension
• Loyalty premiums
• Regular team events
• Varied corporate benefits
• Free yoga courses by company-owned yoga teachers
• Staff restaurant with full and free meals
• Digital time recording
• Free dental supplement insurance
• Professional and personal training through an e-learning tool, as well as training on the job and live seminars
• Cooperation with Barceló Hotel Group: 25% discount on member rates",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Kuechenchef-Bankett-m-w-d-Duesseldorf-Hotel-Koe59-Duesseldorf-Member-of-Hommage-Luxury-Hotels-Collection--14035499-inline.html,Job-352,Rule_title,No,Direct Employer,5510,High,55
"Chef / kitchen manager (m/w/d) for modern hotel kitchen, ratings",Personal Service Workers (ISCO 51),5120.0,512.0,51.0,Cooks,North Rhine-Westphalia,Ratingen,Rocholl Hospitality Holding GmbH,Accommodation,2026-06-02 00:00:00,Full-time,,"• Organization of daily kitchen routines
• Preparation and delivery of food according to our hotel concept
• Support of breakfast, snack, event and conference services
• Ordering and controlling stocks
• Cooperation with suppliers and the hotel management
• Compliance with HACCP, hygiene and quality standards
• Control of goods use, cleanliness and order
• Guidance and coordination of the kitchen team
• Ensuring a structured and economical kitchen operation","• Experience as a chef, kitchen manager, young chef with responsibility or in a hotel kitchen
• likes to work in a structured and clean way
• Orders, storage and goods control can be organised independently
• Economically thinking and avoiding waste
• HACCP and hygiene requirements safely implemented
• have no fear of standardized products and clear processes
• to actively build a new hotel project
• be team-capable, resilient and solution-oriented","• a new hotel project with development opportunities
• Clear kitchen processes instead of chaotic à la carte rush
• planable processes and modern structures
• Responsibility without unnecessarily complicated kitchen hierarchies
• a concept where organization, quality and reliability are more important than show kitchen
• Short decision-making
• a motivated team in a growing hotel group",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Koch-Kuechenverantwortlicher-m-w-d-fuer-moderne-Hotelkueche-Ratingen-Rocholl-Hospitality-Holding-GmbH--14029201-inline.html,Job-353,Rule_title,Yes,Direct Employer,5510,High,55
"Housekeeper (m/w/d) in an outpatient care service, Duisburg",Personal Service Workers (ISCO 51),5152.0,515.0,51.0,Domestic housekeepers,North Rhine-Westphalia,Duisburg,Die Mitmenschen Ihre Alltagshilfe Aus Großenbaum S. Kessel Und M. Sparrer Gbr,Social work activities without accommodation,2026-06-10 00:00:00,Part-time,,"The focus is on the implementation of household services. They also accompany our clients during doctor visits, messenger tours, walks and shopping. They make our seniors and people in need of help society and have an open ear at all times","You bring this with you:You enjoy dealing with seniors and needy You are highly communication self-employed and self-responsible working A driving licence class B is desirable but not a must.Requirements for applicants: Basic knowledge: Seniors (care, advice, etc.), Housekeeping",Our main working hours are from 9.00h to 14.00h on weekdays.We offer vacancies as part-time as well as on a mini-job basis.They become part of a motivated and ambitious team with which they actively shape the success story.A good payment Flexible working hours Various training options Kilometer money or take over the ticket of the ÖVM,On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Hauswirtschafter-m-w-d-in-einem-ambulanten-Betreuungsdienst-Duisburg-Die-Mitmenschen-Ihre-Alltagshilfe-Aus-Grossenbaum-S-Kessel-Und-M-Sparrer-Gbr--13951887-inline.html,Job-354,Rule_title,Yes,Direct Employer,8810,Medium,88
"Trainee chef (m/w/d) in Düsseldorf, Düsseldorf",Personal Service Workers (ISCO 51),5120.0,512.0,51.0,Cooks,North Rhine-Westphalia,Düsseldorf,Van der Valk Hotel Düsseldorf,Accommodation,2026-06-08 00:00:00,Full-time,,"You learn the basics of modern cuisine, from preparation to dressing. Whether in the à la carte service, banquet or frontcooking - with us you are used in many ways. Our professionals accompany you with honest feedback and a lot of experience. Your training lasts 3 years - with good performance a reduction to 2.5 years is possible.","Enthusiasm for cooking and enjoyment of culinary creativity Ideally, first practical experiences in the hotel industry or gastronomy (e.g. through an internship or a mini job) Very good German skills Team spirit, reliability and a friendly appearance Well-kept appearance and good manners Durability, flexibility and a large portion of curiosity","• A smooth start - you get a thorough introduction to make you feel comfortable from the start.
• Exclusive advantages - You benefit from attractive employee discounts on overnight stays in all Valk Exclusief hotels and many well-known brands via our employee portal.
• Occupational pension provision
• Well cared for - In our staff canteen you get a cheap and delicious full catering.
• Fit and mobile - you use our hotel fitness area for free and park directly at the hotel - also free of charge.
• Top equipped - We provide you with high quality work clothes free of charge.
• Fair and transparent - Thanks to digital time recording, your working time is accurately documented and overtime is fairly balanced.",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Auszubildende-Koch-Koechin-m-w-d-in-Duesseldorf-Duesseldorf-Van-der-Valk-Hotel-Duesseldorf--12523932-inline.html,Job-355,Rule_title,Yes,Recruitment Agency,5510,High,55
"Trainee chef (m/w/d)- Hotel Oberhausen Neue Mitte affiliated by Meliá, Oberhausen",Personal Service Workers (ISCO 51),5120.0,512.0,51.0,Cooks,North Rhine-Westphalia,Oberhausen,HOTEL OBERHAUSEN NEUE MITTE affiliated by Meliá,Accommodation,2026-06-07 00:00:00,Full-time,,"• According to the framework plan of the Chamber of Commerce, you will pass all the posts in the kitchen and receive a sound training.
• You support our kitchen team in ensuring that our guests are completely satisfied with culinary delights and actively participate.
• Every day you show the will to learn something new.
• Internal training and training opportunities","• You have completed your schooling. If you have first practical experience, this is an advantage.
• You love cooking passionately and are interested in different foods. You also like to experiment with the stove.
• Self-employed and self-responsible work is no problem for you.
• Talks in German and English are mostly left.
• A warm and positive charisma as well as a well-kept appearance are for you a matter of course.","• You will get 30 days of vacation a year to recover sufficiently.
• We will cover the costs for your ticket to Germany so that you stay mobile.
• You will receive discounted rates in all Meliá Hotels International hotels and resorts worldwide, including for your family and friends.
• You can benefit from a 30% discount on food and drinks in all Meliá hotels worldwide.
• You will receive structured training and support to facilitate your entry.
• We offer you internal and external training as well as internal career opportunities.
• There are free hot and cold drinks and daily fresh, free meals in our staff canteen.
• We provide you with free service clothes and take care of their cleaning - also for your private business clothes.
• We regularly organize health days and offer discounts on gym memberships.
• You profit from attractive employee discounts on clothing, rental cars and much more at over 600 brands.
• Our ""Inspiring Friends"" program will give you a bonus of €1,000 if you are a new employee.",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Auszubildender-Koch-Koechin-m-w-d-Hotel-Oberhausen-Neue-Mitte-affiliated-by-Meliá-Oberhausen-HOTEL-OBERHAUSEN-NEUE-MITTE-affiliated-by-Meliá--14056637-inline.html,Job-356,Rule_title,Yes,Direct Employer,5510,High,55
"Housekeeper (m/w/d) Springer and Supporter in Housekeeping, Mettmann",Personal Service Workers (ISCO 51),5152.0,515.0,51.0,Domestic housekeepers,North Rhine-Westphalia,Mettmann,Land Gut Höhne,Accommodation,2026-06-05 00:00:00,Part-time,,The cheerful team of the housekeeping needs your support. Free are a place for room cleaning and two places as a jumper and for active help in the house economy. Cross-country beginners are welcome. The cleanliness and hygiene on land Gut Höhne is guaranteed under natural and ecological conditions. Applicants are fully integrated - and warmly welcomed to the team.,"• like to have it clean and tidy
• have joy in work
• are ready for use and reliable
• have a certain environmental awareness
• like to learn
• understand and speak German and English
• are flexible
• are discreet and responsible","• free full-time meals during working hours
• a friendly team
• a pleasant environment
• Shiftwork
• Fair pay and schedules
• fixed break times
• regular training opportunities
• Opportunities for advancement
• Supplements for Sunday, public holidays, night work
• Special allowances
• occupational pension provision
• Occupational health courses
• reduced employee prices",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Hauswirtschafter-m-w-d-Springer-und-Unterstuetzer-in-der-Hauswirtschaft-Mettmann-Land-Gut-Hoehne--10725918-inline.html,Job-357,Rule_title,Yes,Direct Employer,5510,Medium,55
"Meater/Meatser fresh counter (m/w/d), Kempen","Food processing, woodworking, garment and other craft and related trades workers (ISCO 75)",7511.0,751.0,75.0,"Butchers, fishmongers and related food preparers",North Rhine-Westphalia,Kempen,REWE,"Retail trade, except of motor vehicles and motorcycles",2026-06-03 00:00:00,Full-time,,"• Arriving, but right - we are a well-established team that will support and work on you from day one so that you feel at ease immediately
• More of the salary - an attractive remuneration and 5% purchase discount at REWE and PENNY as well as further discounts at the toom DIY and DERTOUR Group
• Can there be anything else? - Look forward to special payments such as holiday and Christmas money
• Give yourself a break - with up to 6 weeks of holiday in the year
• For your dreams - additional payments that you can use for your building saving contract or pension
• Stay mobile - from us you will get a discounted ticket from Germany, which you can also use in your spare time
• For more balance - certified by the audit berufundfamilie we support you in every situation with e.g. care and childcare topics through the awo lifebalance as well as in the leisure time, among others with the German Youth Hostel
• Fully adapted to your life - flexible deployment planning and the possibility to perform executive positions in part-time
• Your health is at our heart - you receive credit for occupational health examinations, cancer prevention and numerous health services
• Create unforgettable moments together - we celebrate our cohesion with internal events such as anniversaries or team events
• You convince our customers with an appealing product presentation, competent advice and accommodating service
• You show a touch of the touch when finishing and portioning our goods
• You produce your own specialities according to your own recipes
• With your eye you provide details for an excellent product presence, freshness and compliance with hygiene regulations
• Ideally, your completed vocational training as a butcher, butcher or specialist salesman in the food trade with a focus on butchery
• Your joy in dealing with people and your passion for trade
• Your reliable, responsible and team-oriented working methods as well as your customer orientation
• Your willingness to work in a flexible shift system with deployment times from Monday to Saturday between 06:00 and 15:00",,"• Arriving, but right - we are a well-established team that will support and work on you from day one so that you feel at ease immediately
• More of the salary - an attractive remuneration and 5% purchase discount at REWE and PENNY as well as further discounts at the toom DIY and DERTOUR Group
• Can there be anything else? - Look forward to special payments such as holiday and Christmas money
• Give yourself a break - with up to 6 weeks of holiday in the year
• For your dreams - additional payments that you can use for your building saving contract or pension
• Stay mobile - from us you will get a discounted ticket from Germany, which you can also use in your spare time
• For more balance - certified by the audit berufundfamilie we support you in every situation with e.g. care and childcare topics through the awo lifebalance as well as in the leisure time, among others with the German Youth Hostel
• Fully adapted to your life - flexible deployment planning and the possibility to perform executive positions in part-time
• Your health is at our heart - you receive credit for occupational health examinations, cancer prevention and numerous health services
• Create unforgettable moments together - we celebrate our cohesion with internal events such as anniversaries or team events
• You convince our customers with an appealing product presentation, competent advice and accommodating service
• You show a touch of the touch when finishing and portioning our goods
• You produce your own specialities according to your own recipes
• With your eye you provide details for an excellent product presence, freshness and compliance with hygiene regulations
• Ideally, your completed vocational training as a butcher, butcher or specialist salesman in the food trade with a focus on butchery
• Your joy in dealing with people and your passion for trade
• Your reliable, responsible and team-oriented working methods as well as your customer orientation
• Your willingness to work in a flexible shift system with deployment times from Monday to Saturday between 06:00 and 15:00",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Fleischer-Metzger-Frischetheke-m-w-d-Kempen-REWE--14101504-inline.html,Job-358,Rule_title,Yes,Direct Employer,4711,High,47
"Meater / butcher fresh counter (m/w/d), Krefeld","Food processing, woodworking, garment and other craft and related trades workers (ISCO 75)",7511.0,751.0,75.0,"Butchers, fishmongers and related food preparers",North Rhine-Westphalia,Krefeld,REWE,"Retail trade, except of motor vehicles and motorcycles",2026-06-01 00:00:00,Full-time,,"• Arriving, but right - we are a well-established team that will support and work on you from day one so that you feel at ease immediately
• More of the salary - an attractive remuneration and 5% purchase discount at REWE and PENNY as well as further discounts at the toom DIY and DERTOUR Group
• Can there be anything else? - Look forward to special payments such as holiday and Christmas money
• Offers for your leisure time - We offer discounts in gyms, discounts at numerous online shops and a membership in the German Youth Mine
• Think about tomorrow today - we offer you great offers for retirement provision in the REWE Group pension fund
• Create your future - with our comprehensive offerings of seminars, coachings and e-learning
• Create unforgettable moments together - we celebrate our cohesion with internal events such as anniversaries or team events
• Living diversity together - Group-wide and regional networks such as our LGBTIQ network
• You convince our customers with an appealing product presentation, competent advice and accommodating service
• You show a touch of the touch when finishing and portioning our goods
• You produce your own specialities according to your own recipes
• With your eye you provide details for an excellent product presence, freshness and compliance with hygiene regulations
• Ideally, your completed vocational training as a butcher, butcher or specialist salesman in the food trade with a focus on butchery
• Your joy in dealing with people and your passion for trade
• Your reliable, responsible and team-oriented working methods as well as your customer orientation
• Your willingness to work in a flexible shift system with deployment times from Monday to Saturday between 06:00 and 15:00",,"• Arriving, but right - we are a well-established team that will support and work on you from day one so that you feel at ease immediately
• More of the salary - an attractive remuneration and 5% purchase discount at REWE and PENNY as well as further discounts at the toom DIY and DERTOUR Group
• Can there be anything else? - Look forward to special payments such as holiday and Christmas money
• Offers for your leisure time - We offer discounts in gyms, discounts at numerous online shops and a membership in the German Youth Mine
• Think about tomorrow today - we offer you great offers for retirement provision in the REWE Group pension fund
• Create your future - with our comprehensive offerings of seminars, coachings and e-learning
• Create unforgettable moments together - we celebrate our cohesion with internal events such as anniversaries or team events
• Living diversity together - Group-wide and regional networks such as our LGBTIQ network
• You convince our customers with an appealing product presentation, competent advice and accommodating service
• You show a touch of the touch when finishing and portioning our goods
• You produce your own specialities according to your own recipes
• With your eye you provide details for an excellent product presence, freshness and compliance with hygiene regulations
• Ideally, your completed vocational training as a butcher, butcher or specialist salesman in the food trade with a focus on butchery
• Your joy in dealing with people and your passion for trade
• Your reliable, responsible and team-oriented working methods as well as your customer orientation
• Your willingness to work in a flexible shift system with deployment times from Monday to Saturday between 06:00 and 15:00",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Fleischer-Metzger-Frischetheke-m-w-d-Krefeld-REWE--13536143-inline.html,Job-359,Rule_title,Yes,Direct Employer,4711,High,47
"Chef (m/w/d), Cologne",Legal Social & Religious Associates (ISCO 34),3434.0,343.0,34.0,Chefs,North Rhine-Westphalia,Köln,Gilden im Zims,Food and beverage service activities,2026-06-12 00:00:00,Full-time,,"• Digital purchasing and organization
• ensure the smooth running of the kitchen shop
• creatively contribute to the creation of menus, buffets and menus
• Support our kitchen director
• To meet our quality standards
• Control HACCP
• Designing service and holiday plans","• a completed training as a chef
• Multi-year experience in a comparable position
• Knowledge in the fields of HACCP, purchasing, menu planning and personnel planning
• Good knowledge of German and English","• Good working climate - convince yourself
• Over-tariff payment
• Tax-free surcharges
• Flexible hourly models
• Position and cleaning of work clothes
• Grant for job ticket
• Job wheel
• Regular employee events
• Electronic time recording with fingerprint
• Company membership via Urban Sports Club
• Employee offers via the platform Corporate Benefits",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Kuechenchef-m-w-d-Koeln-Gilden-im-Zims--12602782-inline.html,Job-360,Rule_title,No,Recruitment Agency,5610,Medium,56
"Chef (m/w/d), Bonn",Legal Social & Religious Associates (ISCO 34),3434.0,343.0,34.0,Chefs,North Rhine-Westphalia,Bonn,ABACCO'S STEAKHOUSE Betriebs GmbH & Co. KG Abacco's Steakhouse Bonn,Food and beverage service activities,2026-06-08 00:00:00,Full-time,,"• Management responsibility for the kitchen team
• Design and calculation of the menus of the gourmet restaurant and the Skybar
• Monitoring of the Mis en Place and the post
• The professional development of employees and trainees as well as the implementation of trainings
• Ensure constant culinary performance and compliance with quality standards
• Orders and cooperation with suppliers, stock monitoring
• Compliance and documentation of hygiene standards in all work areas
• Creation of service and holiday plans","• Successfully completed training as a chef and a sound experience in the upscale gastronomy
• Creative interest in culinary delights and passion for high-quality food & trends
• A high level of quality awareness and commitment
• A hands-on mentality and teamwork ability
• Business thinking
• Professional appearance
• Experiences in personnel management and fun at employee motivation
• No fears of evening shifts and English language","• A dynamic, passionate team with a family and loyal team
• A beautiful workplace high above the roofs of Bonn with a breathtaking view of the Rhine and the Siebengebirge
• The opportunity to gain valuable work experience in the upscale gastronomy with a partly international audience
• Internal training to expand your expertise in cocktails, wine and cuisine
• An indefinite employment contract that suits your life
• An attractive remuneration and very good tip in combination with a bulging benefit package
• holiday allowance and annual special payment after one year of employment
• Employer grant to the Deutschlandticket
• 30 days of leave
• Employer grant to occupational pension schemes (20% grant instead of statutory 15%)
• Free gym membership in the Visiolife Group sites and numerous health services - from health days to vaccinations
• Attractive discounts in the group's gastronomy and hotels
• Employee events (e.g. the summer festival)
• JobRad Leasing after one year of service
• Recurring MA advertise MA programs with attractive premiums up to 2,000 EUR
• A strong, growth-oriented, locally rooted group of companies in the background
• Group-wide career and further training opportunities
• Delicious food in our team-canteen",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Kuechenchef-m-w-d-Bonn-ABACCO'S-STEAKHOUSE-Betriebs-GmbH-Co-KG-Abaccos-Steakhouse-Bonn--14124423-inline.html,Job-361,Rule_title,No,Recruitment Agency,5610,High,56
"Chef for our staff restaurant (m/w/d), Cologne",Personal Service Workers (ISCO 51),5120.0,512.0,51.0,Cooks,North Rhine-Westphalia,Köln,Excelsior Hotel Ernst,Accommodation,2026-06-08 00:00:00,Full-time,,"Do you love to start early in the day and to give others a joy with your work? Your passion is to put a smile on your face with an appealing presentation of the food? Then you're exactly right with us. Attention to detail, quality awareness and a proactive working method distinguish you. In our kitchen team you work with fresh products and contribute from Monday to Friday to make our meals in the staff restaurant a daily enjoyable experience. Our kitchen team of Hanse Stube, led by chef Lars Wolf, combines classic and regional cuisine with modern ideas. Traditional recipes are reinterpreted with creativity and craftsmanship and refined to real moments of enjoyment using high-quality products. For you, ""chewing is my passion"" is not just a phrase, but a living conviction. You want to develop creatively and appreciate being part of an experienced team from which you can learn and grow together. The cooperation with the chef is a valuable inspiration and motivation.","• Working in one of the best privately run hotels in the world
• Family environment and flat hierarchies
• Personal development perspective
• Night extras in some departments
• Rewards for employee advertising
• Attractive overnight stays for fairjob hotels, selection of German luxury hotels and Leading Hotels of the world
• Possible participation in cross-trainings in the selection of German luxury hotels and fairjob hotels
• Various training and training offers in-house, as well as with our external partners
• Broad health management
• Promoting work-life balance through support opportunities for your little ones
• Many joint events e.g. summer party, kick-off party
• Possible discounted use of our F&B outlets
• Participation in many projects for improving quality for employees and guests
• Additional support for occupational pension provision
• Access to corporate benefits and our employee action platform with many discounts
• Discounts in many Cologne facilities, e.g. museums, Cologne Zoo, gym",,On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Koch-Koechin-fuer-unser-Mitarbeiterrestaurant-m-w-d-Koeln-Excelsior-Hotel-Ernst--13946344-inline.html,Job-362,Rule_title,Yes,Direct Employer,5510,High,55
"Meater / butcher fresh counter (m/w/d), Bonn","Food processing, woodworking, garment and other craft and related trades workers (ISCO 75)",7511.0,751.0,75.0,"Butchers, fishmongers and related food preparers",North Rhine-Westphalia,Bonn,REWE,"Retail trade, except of motor vehicles and motorcycles",2026-06-09 00:00:00,Full-time,,"• Arriving, but right - we are a well-established team that will support and work on you from day one so that you feel at ease immediately
• More of the salary - an attractive remuneration and 5% purchase discount at REWE and PENNY as well as further discounts at the toom DIY and DERTOUR Group
• Can there be anything else? - look forward to special payments such as holiday and Christmas money
• 4-day week - whether you work full or part-time, your weekly working time is divided into four days
• Split layer - whether you work full or part-time, you can divide your working hours in two shifts a day (e.g. morning use and then a night use) and use the time between them privately
• Flex use - your willingness to be flexible in the market across departments, we compensate with a fixed monthly allowance
• Flex days - if you are ready to join your team on short notice, we will reward your bet with a bonus and subsequent hourly compensation
• Make sure - you start working directly in an indefinite employment relationship: for more predictability and security
• Think about tomorrow today - we offer you great offers for retirement provision in the REWE Group pension fund
• Stay mobile - from us you will get a discounted ticket from Germany, which you can also use in your spare time
• For more balance - certified by the audit berufundfamilie we support you in every situation with e.g. care and childcare topics through the awo lifebalance as well as in the leisure time, among others with the German Youth Hostel
• You convince our customers with an appealing product presentation, competent advice and accommodating service
• You show a touch of the touch when finishing and portioning our goods
• You produce your own specialities according to your own recipes
• With your eye you provide details for an excellent product presence, freshness and compliance with hygiene regulations
• Ideally, your completed vocational training as a butcher, butcher or specialist salesman in the food trade with a focus on butcher
• Your joy in dealing with people and your passion for trade
• Your reliable, responsible and team-oriented working methods as well as your customer orientation
• Your willingness to work in a flexible shift system with deployment times from Monday to Saturday between 06:00 and 20:00",,"• Arriving, but right - we are a well-established team that will support and work on you from day one so that you feel at ease immediately
• More of the salary - an attractive remuneration and 5% purchase discount at REWE and PENNY as well as further discounts at the toom DIY and DERTOUR Group
• Can there be anything else? - look forward to special payments such as holiday and Christmas money
• 4-day week - whether you work full or part-time, your weekly working time is divided into four days
• Split layer - whether you work full or part-time, you can divide your working hours in two shifts a day (e.g. morning use and then a night use) and use the time between them privately
• Flex use - your willingness to be flexible in the market across departments, we compensate with a fixed monthly allowance
• Flex days - if you are ready to join your team on short notice, we will reward your bet with a bonus and subsequent hourly compensation
• Make sure - you start working directly in an indefinite employment relationship: for more predictability and security
• Think about tomorrow today - we offer you great offers for retirement provision in the REWE Group pension fund
• Stay mobile - from us you will get a discounted ticket from Germany, which you can also use in your spare time
• For more balance - certified by the audit berufundfamilie we support you in every situation with e.g. care and childcare topics through the awo lifebalance as well as in the leisure time, among others with the German Youth Hostel
• You convince our customers with an appealing product presentation, competent advice and accommodating service
• You show a touch of the touch when finishing and portioning our goods
• You produce your own specialities according to your own recipes
• With your eye you provide details for an excellent product presence, freshness and compliance with hygiene regulations
• Ideally, your completed vocational training as a butcher, butcher or specialist salesman in the food trade with a focus on butcher
• Your joy in dealing with people and your passion for trade
• Your reliable, responsible and team-oriented working methods as well as your customer orientation
• Your willingness to work in a flexible shift system with deployment times from Monday to Saturday between 06:00 and 20:00",On-site,Hospitality & Food Services,2026-06-15,https://www.stepstone.de/stellenangebote--Fleischer-Metzger-Frischetheke-m-w-d-Bonn-REWE--13949615-inline.html,Job-363,Rule_title,Yes,Direct Employer,4711,High,47
