Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,City,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Sector,Date_Scraped,Job_URL,Job_ID,ISCO_Source,ISCO_Reclassified,Employer_Type_Raw,Employer_ISIC_4,Employer_Category_Confidence_Level,Employer_ISIC_2
"Financial accountant (m/w/d) in the non-profit institution, full time, unlimited, Berlin",Numerical and material recording clerks (ISCO 43),4311.0,431.0,43.0,Accounting and bookkeeping clerks,Berlin,Berlin,Nachbarschaftsheim Schöneberg e.V.,Social work activities without accommodation,2026-06-26 00:00:00,Full-time,,"• Self-employed processing of complex business incidents for the Neighborhood Home Schöneberg e.V. and the Neighborhood Home Nursing Services gGmbH taking into account the HGB and non-profit requirements
• Accounting for funding projects and payment transactions with a particular focus on transparency and responsibility in dealing with public funds
• OP care (debitors, lenders, accounts)
• Current balance and clarification of accounts
• Booking of provisions, accruals, etc.
• Cash account (monitoring receipt of invoice, reminders of outstanding amounts)
• Coordination and further calculation of in-house benefits
• Work in preparing quarterly and annual accounts
• Close cooperation with departmental/institutional management and departments as a reliable contact person on financial issues
• With your work, you can help ensure that our social, cultural and nursing services can be reliably planned, implemented and billed.","• Completed commercial training, e.g. as a financial accountant, or a comparable qualification
• Multi-annual experience in financial accounting or accounting
• Knowledge of accounting and accounting requirements of non-profit organisations
• Experience in the area of funding and funding is desirable
• Safe handling of MS Office, especially Excel, as well as a certain IT affinity
• Self-employed, structured working methods and joy in teamwork
• Interest in the work of a non-profit organisation and understanding of its specific framework conditions","• A meaningful and responsible activity in a large non-profit organisation with social relevance
• An entry salary between € 3,125 and € 3,612 gross for full-time, depending on qualification and professional experience, with possibility of higher classification
• 30 days annual leave for a 5day week, 24.12. & 31.12. as paid leave
• Supplementary pension with 4.6% employer subsidy
• Capital benefits (VWL)
• Holiday and Christmas money
• Anniversary Congratulations
• Health promotion services
• Internal and external training and professional development opportunities
• ""Employees advertise"" award programme
• exclusive discounts from product manufacturers or premium retailers",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Finanzbuchhalter-m-w-d-im-gemeinnuetzigen-Traeger-Vollzeit-unbefristet-Berlin-Nachbarschaftsheim-Schoeneberg-e-V--14139264-inline.html,Job-11,Rule_title,Yes,Recruitment Agency,8890,Medium,88
"Sales representative Transporter (m/w/d) at the Berlin-Tempelhof site, Berlin",Business & Administration Professionals (ISCO 24),2431.0,243.0,24.0,Advertising and marketing professionals,Berlin,Berlin,MAN Truck & Bus Deutschland GmbH,"Manufacture of motor vehicles, trailers and semi-trailers",2026-06-26 00:00:00,Full-time,,"• You represent MAN in the transporter sector and build up sustainable customer relationships
• You gain new customer groups and develop your sales area strategically
• You are enthusiastic about existing customers for our customized transport solutions and services
• You work closely with our strong service network - sales and service from a single source
• You care for key customers and also tendering procedures are not foreign to you
• You represent MAN at trade fairs and events (e.g. IAA Transportation 2026)
• Your focus is on field service - close to the customer & close to the market
• Qualified leads
• existing customer base","• You represent MAN in the transporter sector and build up sustainable customer relationships
• You gain new customer groups and develop your sales area strategically
• You are enthusiastic about existing customers for our customized transport solutions and services
• You work closely with our strong service network - sales and service from a single source
• You care for key customers and also tendering procedures are not foreign to you
• You represent MAN at trade fairs and events (e.g. IAA Transportation 2026)
• Your focus is on field service - close to the customer & close to the market
• Qualified leads
• existing customer base
• Completed commercial and/or technical vocational training - alternatively study or comparable qualification
• Qualification for tested car seller (m/w/d) (GAV)
• Multi-year successful experience in sales (commercial vehicle) with territorial responsibility
• Entrepreneurial thinking, degree strength and enthusiasm for individual mobility solutions
• Class B driving licence","• Attractive remuneration Success-based and attractive commission scheme with monthly and annual coverage, as well as occupational pension provision and capital benefits.
• Mobility including company vehicle for professional and private use.
• Work-life balance 30 days of holiday, flexible day planning and occupational health care services.
• Individual development Tailor-made training and training programs for your personal career.
• Strong team and open culture Valuable cooperation, short decision-making and regular team events.
• Exclusive additional offers Attractive car leasing offers for you and your family (including VW, Audi).",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Verkaufsbeauftragter-Transporter-m-w-d-am-Standort-Berlin-Tempelhof-Berlin-Tempelhof-MAN-Truck-Bus-Deutschland-GmbH--14141804-inline.html,Job-12,Gemini,Yes,Direct Employer,2910,High,29
"Driver Kl. CE 20€/h (m/w/d) - shunting activities at the factory, Rüdersdorf near Berlin",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Berlin,Rüdersdorf bei Berlin,DEKRA Arbeit GmbH,Employment activities,2026-06-26 00:00:00,Full-time,,"• Driving > 7,5 tonnes
• Picking up and parking of trailers and pick-up machines on the factory premises
• shunting of climbers and trailers on the factory premises
• Checking of swap bridges for damage
• Transfer of swappers, machine cars, saddle racks
• Maintenance and refuelling of vehicles in the fleet","• possession of the CE driving licence with key number 95
• Knowledge in the shunting of swap bridges is advantageous
• Experience in the field of storage and driving larger vehicles desirable
• Car driving licence
• Self-employed and reliable working methods","• A fixed employment contract under the DGB/GVP collective agreement
• An extra-tariff remuneration, plus holiday and Christmas money
• An interesting job corresponding to your qualifications
• A takeover perspective by the customer company",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Fahrer-Kl-CE-20-Std-m-w-d-Rangiertaetigkeiten-Werksgelaende-Ruedersdorf-bei-Berlin-DEKRA-Arbeit-GmbH--14142539-inline.html,Job-13,Gemini,No,Recruitment Agency,7820,High,78
"Truck driver - local transport Schönefeld near Berlin (m/w/d), Schönefeld",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Berlin,Schönefeld,Deutsche Post & DHL,Postal and courier activities,2026-06-26 00:00:00,Full-time,,"• On-time collection and delivery of the cargo
• securing the load in the truck
• Transport in local transport","• A valid CE driving licence with key number 95
• Ideally professional experience as a professional driver
• Experience in driving with trailers
• Ready for work even on weekends
• Reliability, commitment and flexibility
• You are physically fit and resilient","• Collective hourly wage from € 18.51 incl. 50% Christmas money
• + 25% night allowance tax-free from 20:00 (until 6:00 a.m., equivalent to €22.21 hourly wage incl. 50% Christmas bonus)
• Another 50% Christmas money in November
• Up to 332 € holiday allowance, 27 days holiday entitlement
• A job that is secure in crisis, paid training, guaranteed wage increases under collective agreement and punctual pay
• Possibility of paying overtime
• You can start in full time immediately indefinitely
• You always know when you are at home - regular work time 38.5 hours/week in three shift operation
• The cost of continuing vocational training according to the BKrFQG
• Free provision of high quality work clothes
• Attractive employee offers such as employer-funded company pension plans, discounts on holidays etc.",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Lkw-Fahrer-Nahverkehr-Schoenefeld-bei-Berlin-m-w-d-Schoenefeld-Deutsche-Post-DHL--13924445-inline.html,Job-14,Rule_title,No,Direct Employer,5310,High,53
"Training as a professional driver (m/w/d) at the Oberkrämer, Oberkrämer site",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Brandenburg,Oberkrämer,SL Schwanteland GmbH,Land transport and transport via pipelines,2026-06-26 00:00:00,Full-time,,"• Learning the driver's profession
• Maintenance and maintenance of vehicles
• Preparation and implementation of transports
• Loading and unloading of vehicles
• Legal provisions
• Activities in the workshop
• Getting to know the administrative area","• You have at least one master's degree
• You are reliable, determined and motivated
• You are interested in technology and vehicles
• Driving licences: B (PKW), BE (PKW with trailer), CE (Truck over 3.5 t with trailer or semitrailer over 7.5 t)
• Driving pass for a forklift
• Training for professional driver (m/w/d)","• Three-year training for professional driver
• Takeover after successful training
• Purchase of the car and truck driver's license
• We are a traditional company with flat hierarchies and a good working environment.
• We offer you an interesting training place.
• Location: Oberkrämer in Brandenburg
• Duration of training: 3 years
• Access requirement: minimum secondary school leaving certificate
• Acceptance of the costs of car and truck driving licence
• Training allowance: 1st year of apprenticeship EUR 880, 2nd year of apprenticeship EUR 980, 3rd year of apprenticeship EUR 1040
• Theoretical and practical, recognised training
• Exciting work - versatile, responsible & demanding
• Modern workplace on state-of-the-art technology
• A job that is hard to ask & safe
• Start: every year in August/September",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Ausbildung-zum-Berufskraftfahrer-m-w-d-am-Standort-Oberkraemer-Oberkraemer-Deutschland-SL-Schwanteland-GmbH--13887667-inline.html,Job-15,Rule_title,No,Direct Employer,4923,High,49
"Motorists (m/w/d) Long-distance traffic at Oberkrämer, Oberkrämer",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Brandenburg,Oberkrämer,SL Schwanteland GmbH,Land transport and transport via pipelines,2026-06-26 00:00:00,Full-time,,"• Transport in the near and long term
• punctual and friendly delivery of our customers from the fields of industry, crafts and medicine
• Regular driving of a truck entrusted to you in road traffic
• Departure control, maintenance and maintenance
• Operation of mobile data collection
• Day trip transports with motor cars of 10-26 tons and tractors with city saddle of 40 tons","• Motivation and reliability
• You know and understand the job of a professional driver and treat your vehicle and equipment as if it were your own.
• German in word and writing
• You have experience with saddle trains (planning, cooler and open saddle), as well as technical knowledge in the topic of load securing.
• Driving and rest periods must be complied with according to legal regulations.","• An indefinite contract of employment
• A friendly and pleasant working atmosphere
• An exciting and varied working environment
• We pay hourly wage plus statutory expenses
• We provide you with work clothes and a fixed vehicle.
• Use in national and international long-distance transport
• costs for training, renewal of existing licences or training are covered.
• We enable the execution of the hazardous goods training / forklift certificate
• An attractive employer-funded pension scheme
• Driver for day trips
• Location: Oberkrämer in Brandenburg
• Field: transport and logistics (especially dangerous goods transport of technical and medical gases)
• Working time: full time
• Contract: indefinite
• Start: from now on",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-Fernverkehr-am-Standort-Oberkraemer-Oberkraemer-Deutschland-SL-Schwanteland-GmbH--13880750-inline.html,Job-16,Rule_title,No,Direct Employer,4923,High,49
"Driver (m/w/d) day tours at Oberkrämer, Oberkrämer",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Brandenburg,Oberkrämer,SL Schwanteland GmbH,Land transport and transport via pipelines,2026-06-26 00:00:00,Full-time,,"• Transport of dangerous goods by local transport of technical and medical gases
• punctual and friendly delivery of our customers from the fields of industry, crafts and medicine
• Self-loading and unloading with forklifts and various aids
• Regular driving of a truck entrusted to you in road traffic
• Departure control, maintenance and maintenance
• Operation of mobile data collection
• Day trip transports with motor cars of 10-26 tons and tractors with city saddle of 40 tons","• Friendly appearance, courtesy and appealing manners are for you a matter of course (customer contact)
• Teamwork capability for cooperation with our dispatchers
• Driver's license C, CE and driver's card
• The valid ADR note and the forklift note would be desirable","• We provide you with your complete work clothes and personal protective equipment
• Free weekends
• Permanent employment
• Attractive remuneration with additional benefits
• Acquirement of costs for driving licence, driver card, examination, training
• Intensive 4-week training with reduction
• Diversity and responsibility
• A large and growing company
• Our friendly team
• Occupational pension provision
• Family friendly holiday planning
• Location: Oberkrämer in Brandenburg
• Field: transport and logistics (especially dangerous goods transport of technical and medical gases)
• Working time: full time
• Contract: indefinite
• Start: from now on",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-Tagestouren-am-Standort-Oberkraemer-Oberkraemer-Deutschland-SL-Schwanteland-GmbH--13880783-inline.html,Job-17,Rule_title,No,Direct Employer,4923,High,49
"Driver (m/w/d) Run tour in late shift at the Oberkrämer, Oberkrämer site",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Brandenburg,Oberkrämer,SL Schwanteland GmbH,Land transport and transport via pipelines,2026-06-26 00:00:00,Full-time,,"• Circular tour (Oberkrämer-Bohlen) of technical gases
• Start of work approx. 15:00
• Self-loading and unloading with forklift trucks and various aids
• Regular driving of a truck entrusted to you in road traffic
• Operation of mobile data collection
• Departure control, maintenance and maintenance
• Day trip transports with motor cars of 10-26 tons and tractors with city saddle of 40 tons","• Friendly appearance, courtesy and appealing manners are for you a matter of course (customer contact)
• Teamwork capability for cooperation with our dispatchers
• Driver's license C, CE and driver's card
• The valid ADR note and the forklift note would be desirable","• We provide you with your complete work clothes and personal protective equipment
• Free weekends
• Permanent employment
• Attractive remuneration with additional benefits
• Acquirement of costs for driving licence, driver card, examination, training
• Intensive 4-week training with reduction
• Diversity and responsibility
• A large and growing company
• Our friendly team
• Occupational pension provision
• Family friendly holiday planning
• Location: Oberkrämer in Brandenburg
• Field: transport and logistics (especially dangerous goods transport of technical and medical gases)
• Working time: full time
• Contract: indefinite
• Start: from now on",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-Rundlauftour-in-Spaetschicht-am-Standort-Oberkraemer-Oberkraemer-Deutschland-SL-Schwanteland-GmbH--13880805-inline.html,Job-18,Rule_title,No,Direct Employer,4923,High,49
"Truck driver (w/m/d), Schönefeld near Berlin",Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Berlin,Schönefeld bei Berlin,B&B Recycling GmbH,"Waste collection, treatment and disposal activities; materials recovery",2026-06-26 00:00:00,Full-time,,- They carry a truck (dumper and roll-off container) - Maintenance and proper operation of the vehicle - Handling of the allocated tours and orders,"Your profile:- Experience with drop-off tipper and roll-off container - Driving licence of the CE classes - Structured and proper working methods - Reliability, teamwork and flexibilityRequirements for applicants: Basic knowledge: dumper (truck), tipper, vehicle guidance",- Safe workstation with regulated working hours (Monday - Friday) - Attractive and performance-oriented remuneration - Additional bonus payments - Short communication routes - Position of work clothes and tools,On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--LKW-Fahrer-w-m-d-Schoenefeld-bei-Berlin-BB-Recycling-GmbH--13885943-inline.html,Job-19,Rule_title,No,Direct Employer,3830,High,38
Driver - Assistant Warenlogistik,Drivers and mobile plant operators (ISCO 83),8332.0,833.0,83.0,Heavy truck and lorry drivers,Berlin,Berlin,Uwe Steingross Feinmechanik GmbH & Co. KG,"Manufacture of fabricated metal products, except machinery and equipment",2026-06-26 00:00:00,Full-time,,"• Independent setup and programming of CNC lathes
• Production optimization
• Quality control of the manufactured articles
• self-responsible safe working with overview
• Independent setup and programming of CNC lathes
• Production optimization
• Quality control of the manufactured articles
• self-responsible safe working with overview
• Independent setup and programming of NC lathes
• Production optimization
• Quality control of the manufactured articles
• self-responsible safe working with overview","• completed schooling
• Care, cleanliness, teamwork and reliability
• Motivation & commitment
• technical interest
• completed training as a machining mechanic or similar
• Several years of experience in setting CNC lathes
• Care, cleanliness, teamwork and reliability
• completed training as a machining mechanic or similar
• multi-year experience in setting NC lathes
• Care, cleanliness, teamwork and reliability","• 13th monthly salary
• fully equipped gym
• Safer workplace
• Opportunities for advancement
• varied
• from turbocharger to satellite",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Kraftfahrer-Assistent-Warenlogistik-Transporter-Fahrer-fuer-3-5-Tonnen-M-W-D-Vollzeit-Berlin-Berlin-Uwe-Steingross-Feinmechanik-GmbH-Co-KG--13887719-inline.html,Job-20,Rule_title,No,Direct Employer,2592,High,25
"Crane operator (m/w/d) for ceiling crane, Berlin",Drivers and mobile plant operators (ISCO 83),8343.0,834.0,83.0,"Crane, hoist and related plant operators",Berlin,Berlin,BLG Logistics Group AG & Co. KG,Warehousing and support activities for transportation,2026-06-26 00:00:00,Full-time,,"• Moving technical components: With our ceiling crane (in tandem mode up to 80 tons) you can lift safely and precisely up to 60 tons.
• Operational safety and occupational safety: you have everything in mind and ensure the transportability of your loading units.
• Stopping components : No matter what sizes, formats and weights - is no problem for you.
• Support : You like teamwork, like to pass on your experience as a crane driver (m/w/d) and pack when it gets tight, even in other storage activities.","• Training to become a crane driver (m/w/d) or a valid crane driver's license and experience with various types of stop techniques
• We would like to have experience as a forklift driver, construction machine operator, agricultural machine operator, truck driver (m/w/d) and a forklift driver license and proof of operation of a lifting platform.
• Good German skills (min. C1) for optimal communication in the team
• Height (G41) and suitability for the taking over of control, driving and monitoring activities (G25)","• An indefinite employment contract with fair collective compensation
• Regulated working hours, scheduled shifts and a job that is safe from crisis
• Attractive offer for (e-)bike leasing and company fitness program
• Discounts , e.g. for holidays, technology, fashion, house & garden
• Grant for VBB ticket",On-site,Logistics & Transport,2026-06-28,https://www.stepstone.de/stellenangebote--Kranfuehrer-Kranfahrer-m-w-d-fuer-Deckenkran-Berlin-BLG-Logistics-Group-AG-Co-KG--14201078-inline.html,Job-21,Rule_title,Yes,Recruitment Agency,5210,High,52
